"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"14.09.2020","31,1138","31,1474","33,0024","29,5197","9,03M","-0,16%"
"13.09.2020","31,1651","28,3161","31,4763","28,3161","10,64M","9,33%"
"12.09.2020","28,5060","25,4011","28,5060","25,4011","6,54M","12,17%"
"11.09.2020","25,4138","24,4431","25,4138","23,4088","3,62M","3,57%"
"10.09.2020","24,5375","24,5213","25,2416","24,2152","4,20M","0,16%"
"09.09.2020","24,4982","23,2328","24,4982","22,7184","4,02M","5,45%"
"08.09.2020","23,2319","22,4896","23,2319","21,8226","5,16M","3,49%"
"07.09.2020","22,4482","23,1083","23,1083","20,4538","5,46M","-3,16%"
"06.09.2020","23,1809","19,3690","23,1809","19,1433","8,11M","19,06%"
"05.09.2020","19,4694","20,9538","21,1952","18,6343","4,59M","-7,09%"
"04.09.2020","20,9547","20,3282","21,4545","20,3282","5,33M","3,12%"
"03.09.2020","20,3202","24,7246","25,2199","20,3202","7,21M","-17,73%"
"02.09.2020","24,7007","24,7341","25,3478","24,0867","5,88M","-0,08%"
"01.09.2020","24,7203","23,1511","25,0343","22,9645","4,44M","6,83%"
"31.08.2020","23,1401","23,6570","23,7177","23,1401","1,77M","-2,09%"
"30.08.2020","23,6332","22,9895","23,7357","22,9895","1,91M","3,02%"
"29.08.2020","22,9398","23,1000","23,4083","22,8750","1,85M","-0,52%"
"28.08.2020","23,0607","23,1455","23,4280","22,7878","2,55M","-0,20%"
"27.08.2020","23,1075","22,2034","23,1075","22,0568","2,93M","4,06%"
"26.08.2020","22,2060","21,3939","22,3554","21,3939","2,50M","3,77%"
"25.08.2020","21,4000","22,5895","22,5895","21,0269","2,27M","-5,32%"
"24.08.2020","22,6024","21,8555","22,7489","21,8555","1,88M","3,55%"
"23.08.2020","21,8267","22,1963","22,1963","21,5816","1,62M","-1,69%"
"22.08.2020","22,2010","22,1008","22,2010","21,5455","1,89M","0,65%"
"21.08.2020","22,0572","23,0862","23,1569","22,0159","2,50M","-4,37%"
"20.08.2020","23,0646","22,3885","23,1529","22,1844","2,24M","3,22%"
"19.08.2020","22,3451","22,9834","22,9834","22,0547","2,13M","-2,91%"
"18.08.2020","23,0155","23,4640","23,5896","22,9213","2,53M","-2,08%"
"17.08.2020","23,5040","23,5277","23,7413","23,1178","2,42M","0,06%"
"16.08.2020","23,4908","23,0929","23,6173","23,0096","2,72M","2,11%"
"15.08.2020","23,0047","23,1800","23,6538","23,0047","2,74M","-0,45%"
"14.08.2020","23,1083","21,8360","23,1792","21,4312","3,82M","6,10%"
"13.08.2020","21,7800","21,4919","21,7800","20,7706","3,08M","1,34%"
